timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,latitude,longitude,speed,roll_deg,pitch_deg,yaw_deg,world_accel_x,world_accel_y,world_accel_z,linear_world_x,linear_world_y,linear_world_z
1790250601402,0.20026991460594357,0.4197181506901742,9.660990062136099,0.00011656592199223273,-0.00035676607662533136,0.0000072928871711972505,-33.34663942373654,-22.23743069900757,-23.475603168293606,23.3352096,85.3205683,0.0,2.4876297190538,-1.1864383179178566,147.20589223250943,5.551115123125783e-17,-8.326672684688674e-17,9.67217660846862,5.551115123125783e-17,-8.326672684688674e-17,-0.13782339153138068
1790250601511,0.1972282477388422,0.41941928157179525,9.661788433397678,0.000005412479429107608,-0.000026834146518835877,-0.00009663574027251726,-33.18073747217847,-22.206654519713684,-23.69402033773738,23.3352096,85.3205683,0.0,2.485655419423278,-1.1683291453237816,147.12414572085402,0.0,0.0,9.672898595932734,0.0,0.0,-0.13710140406726623
1790250601611,0.19864368488956058,0.4187346112195542,9.65634693897457,0.00010385613070617778,-0.00006668606298873867,-0.00001902510380417662,-33.113761880345,-22.222595384225016,-23.556316666964573,23.3352096,85.3205683,0.0,2.482999521426452,-1.1773767548865226,147.04142484371712,1.1102230246251565e-16,8.326672684688674e-17,9.667462655424288,1.1102230246251565e-16,8.326672684688674e-17,-0.14253734457571277
1790250601720,0.1976887691441057,0.4234518955306556,9.649060357976216,0.0000987510629731103,-0.00025715407013930034,0.000249003497180281,-33.30849135353048,-22.510511007646194,-23.735048971637063,23.3352096,85.3205683,0.0,2.512830053727896,-1.1725764381268067,146.86787640558788,-5.551115123125783e-17,-8.326672684688674e-17,9.660370497509001,-5.551115123125783e-17,-8.326672684688674e-17,-0.14962950249099904
1790250601820,0.19661862857124257,0.426547304443995,9.645064169907526,0.00012335253093374155,-0.0003498697135274118,0.00018972367627056959,-33.26459030298942,-22.462486473807907,-23.90065474567732,23.3352096,85.3205683,0.0,2.532222256328975,-1.16669640866113,146.91017184548645,0.0,0.0,9.656493376462473,0.0,0.0,-0.15350662353752753
1790250601929,0.20011232083801214,0.42278262187269017,9.641785011653033,0.00010385242886712562,-0.00017914081462767613,-0.0001162530791660656,-33.020735802881134,-22.23941656387883,-23.962252810551252,23.3352096,85.3205683,0.0,2.510754234567509,-1.1878447286491103,146.97289730588628,5.551115123125783e-17,2.7755575615628914e-17,9.653124276484055,5.551115123125783e-17,2.7755575615628914e-17,-0.15687572351594525
1790250602029,0.20030720608715255,0.4253729310822457,9.637001127353985,0.00001973334599208986,-0.00020127299441071765,0.00029114547318163627,-33.09226964260731,-22.085179571283355,-24.07270027913234,23.3352096,85.3205683,0.0,2.527369643974974,-1.1895761018404722,147.234470791194,0.0,0.0,9.648463910692206,0.0,0.0,-0.16153608930779484
1790250602143,0.19713100089350083,0.4255873473219025,9.633509605221393,-0.00007738113383310913,-0.00003458769767317353,0.0003632732034206519,-33.126731408536074,-21.817960156665634,-23.9427798550609,23.3352096,85.3205683,0.0,2.5295572315738544,-1.1711408959775012,147.59697403138108,5.551115123125783e-17,0.0,9.644920556210227,5.551115123125783e-17,0.0,-0.16507944378977335
1790250602249,0.19628282023310684,0.4233365294232119,9.62613979995348,-0.00003551558303405214,0.0000151627250140386,-0.000013927307439015893,-33.10972085728245,-21.99149720006656,-24.042091318492734,23.3352096,85.3205683,0.0,2.518120247941544,-1.1670061018015743,147.36566500291949,0.0,-5.551115123125783e-17,9.637443032823134,0.0,-5.551115123125783e-17,-0.17255696717686675
1790250602359,0.19717922495186058,0.42443061487276723,9.622747065622454,-0.00010392280563280336,0.00008957132529744913,-0.00017731002376911644,-33.15379051077276,-22.130736231364878,-23.832017408684802,23.3352096,85.3205683,0.0,2.5255087188217478,-1.1727407831565815,147.22221713447436,0.0,5.551115123125783e-17,9.634120721816778,0.0,5.551115123125783e-17,-0.17587927818322235
1790250602459,0.19579676810470387,0.4221154066671826,9.612473815057715,0.0000085023164834222,-0.00008442224965475687,-0.0001757412896655186,-33.260511746092334,-22.412303858394402,-23.659265895719752,23.3352096,85.3205683,0.0,2.514431090568491,-1.1657749169303486,146.9499391031939,-5.551115123125783e-17,-5.551115123125783e-17,9.623729559589476,-5.551115123125783e-17,-5.551115123125783e-17,-0.18627044041052443
1790250602565,0.19956421189094944,0.42315049339153904,9.607944565813575,0.000019452340253924953,0.00007271999899487716,-0.00006913389452402988,-33.26498840533197,-22.31948209424913,-23.438038204979037,23.3352096,85.3205683,0.0,2.5217755779230204,-1.1887531908887363,147.05616045813468,-5.551115123125783e-17,0.0,9.619328510580758,-5.551115123125783e-17,0.0,-0.19067148941924295
1790250602674,0.19844922871562268,0.4199817004874074,9.604933717017452,0.00018499819733710246,-0.000194926093675244,0.00015671340001504393,-33.35193723425472,-22.041196225256844,-23.302204031812217,23.3352096,85.3205683,0.0,2.503698774294556,-1.1825002279352952,147.45570944034034,0.0,8.326672684688674e-17,9.61615923502834,0.0,8.326672684688674e-17,-0.19384076497166092
