timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,latitude,longitude,speed,detected_steps,estimated_x_m,estimated_y_m
1790250601402,0.20026991460594357,0.4197181506901742,9.660990062136099,0.00011656592199223273,-0.00035676607662533136,0.0000072928871711972505,-33.34663942373654,-22.23743069900757,-23.475603168293606,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250601511,0.1972282477388422,0.41941928157179525,9.661788433397678,0.000005412479429107608,-0.000026834146518835877,-0.00009663574027251726,-33.18073747217847,-22.206654519713684,-23.69402033773738,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250601611,0.19864368488956058,0.4187346112195542,9.65634693897457,0.00010385613070617778,-0.00006668606298873867,-0.00001902510380417662,-33.113761880345,-22.222595384225016,-23.556316666964573,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250601720,0.1976887691441057,0.4234518955306556,9.649060357976216,0.0000987510629731103,-0.00025715407013930034,0.000249003497180281,-33.30849135353048,-22.510511007646194,-23.735048971637063,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250601820,0.19661862857124257,0.426547304443995,9.645064169907526,0.00012335253093374155,-0.0003498697135274118,0.00018972367627056959,-33.26459030298942,-22.462486473807907,-23.90065474567732,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250601929,0.20011232083801214,0.42278262187269017,9.641785011653033,0.00010385242886712562,-0.00017914081462767613,-0.0001162530791660656,-33.020735802881134,-22.23941656387883,-23.962252810551252,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250602029,0.20030720608715255,0.4253729310822457,9.637001127353985,0.00001973334599208986,-0.00020127299441071765,0.00029114547318163627,-33.09226964260731,-22.085179571283355,-24.07270027913234,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250602143,0.19713100089350083,0.4255873473219025,9.633509605221393,-0.00007738113383310913,-0.00003458769767317353,0.0003632732034206519,-33.126731408536074,-21.817960156665634,-23.9427798550609,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250602249,0.19628282023310684,0.4233365294232119,9.62613979995348,-0.00003551558303405214,0.0000151627250140386,-0.000013927307439015893,-33.10972085728245,-21.99149720006656,-24.042091318492734,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250602359,0.19717922495186058,0.42443061487276723,9.622747065622454,-0.00010392280563280336,0.00008957132529744913,-0.00017731002376911644,-33.15379051077276,-22.130736231364878,-23.832017408684802,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250602459,0.19579676810470387,0.4221154066671826,9.612473815057715,0.0000085023164834222,-0.00008442224965475687,-0.0001757412896655186,-33.260511746092334,-22.412303858394402,-23.659265895719752,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250602565,0.19956421189094944,0.42315049339153904,9.607944565813575,0.000019452340253924953,0.00007271999899487716,-0.00006913389452402988,-33.26498840533197,-22.31948209424913,-23.438038204979037,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250602674,0.19844922871562268,0.4199817004874074,9.604933717017452,0.00018499819733710246,-0.000194926093675244,0.00015671340001504393,-33.35193723425472,-22.041196225256844,-23.302204031812217,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250602774,0.19979778230157952,0.41854501021586843,9.60555338964737,-0.00016718155018560535,-0.000130327505926644,-0.000006365535358807711,-33.171395152088735,-22.349023913954028,-23.102459503952982,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250602883,0.19774485941059636,0.4212204819688725,9.607281547281222,-0.00030341411047249173,0.0003496898576254259,0.00012480134180694328,-33.25498484680612,-22.57365251106837,-23.222804643121854,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250602983,0.19834514799780284,0.41981831897990596,9.606628802716434,0.00019018492368286797,0.0004676863616205235,0.00019691321457028065,-33.34399355724013,-22.439420666813504,-23.412530622014675,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250603093,0.1952345182456927,0.4202303296619175,9.610820843001438,0.00003357709992769632,0.0003894468799166183,-0.00004773227955250841,-33.555197209757395,-22.076710740480323,-23.34826720717894,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250603201,0.19757059306826513,0.42222985825968473,9.615814788242343,-0.0007371021870886219,0.0003873793633676553,-0.00008867205009306439,-33.58523535860338,-21.91742334365402,-23.040223611645906,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250603303,0.19645457801589564,0.4215677074440681,9.61669767394357,-0.0018246089016287872,0.001484282896796949,0.0000764163174883882,-33.39279825488307,-22.105616800578566,-22.685013599450272,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250603410,0.19140171353852894,0.4159139888582982,9.624538700765555,-0.0013082573522340743,0.0025038380190063325,-0.00003227013523804517,-33.13588160598594,-22.408603560393026,-22.75907714365522,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250603510,0.1825365969305319,0.4205515120008372,9.623637056860362,-0.0002995590041094416,0.002336849805863378,-0.0002911212843827271,-32.77315167395887,-22.390816430775157,-22.814236112898158,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250603621,0.18747391090455715,0.4159732436254306,9.629651869360899,-0.00030502817797552033,0.0006094463426690083,-0.00043481395942677613,-32.970901956123825,-22.2898960599223,-23.215902490422177,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250603728,0.19306516048490954,0.4250658027469399,9.640450728840236,-0.00009340576438570632,-0.0001133101960828152,0.0005645715312052939,-33.24505141475817,-22.207232647917575,-23.282461094052746,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250603829,0.20137094210732343,0.4169584174617746,9.706262693826806,-0.000623601222026439,-0.000013028787594205272,0.00021319651797379295,-33.232293669433474,-22.463712804867072,-23.350934079954353,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250603939,0.20785337362226827,0.42290700611336896,9.656236152267454,-0.0009711375098838247,-0.0025546579672324475,-0.000086118182444299,-32.89856609994342,-22.503661724859757,-23.26046362594972,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250604040,0.11416436705473992,0.16579579586098742,9.664162750600205,-0.013352612606487464,0.0028859881531564783,-0.12291888481670826,-32.779421599916574,-22.579342397952956,-23.0062507870047,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250604140,0.29932231159546463,0.3138377738147654,9.692650481797276,-0.02193193997873738,0.0024526107207375894,-0.2876651761808078,-32.64544018598461,-22.826792473886428,-22.962794295818153,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250604246,-0.3809560670472268,-0.05425869327568075,9.723870339417001,0.016113039062116693,0.04154966343017744,-0.37919894897142975,-32.217157405804436,-23.313351164125955,-23.06002884738725,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250604360,0.011026390591805726,0.643994177044145,9.559963160470863,-0.03033450634568634,0.10853901281059213,-0.20750079742941066,-31.492980566795172,-24.094087337405345,-23.2145119666347,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250604464,-0.02635094753550156,0.3615901038432972,10.069849211246124,0.024412736024541897,0.15498639062649897,-0.0660523409009727,-30.560119650155833,-25.03036557757198,-23.274213428397676,23.3352096,85.3205683,0.0,0,0.0,0.0
1790250604564,-1.4180228858519441,0.43081658386790145,10.396571634087355,0.2659935020643075,0.42679164852926155,-0.04263938643638095,-29.691183531569532,-26.053002484231786,-23.38017942457497,23.3352096,85.3205683,0.0,1,0.7,0.0
1790250604665,-1.813047643369395,0.7378895924535068,10.114478047975297,0.39012526758489263,0.5346714955294167,0.10143790635415993,-29.144991448874016,-27.048069380276882,-23.364229667755524,23.3352096,85.3205683,0.0,1,0.7,0.0
1790250604773,-1.6085997032035575,1.2216192543868982,9.408603602522007,0.5089106092273927,0.3529798025207625,0.23742359126163068,-27.651502419990603,-28.519058548350625,-23.472317051105424,23.3352096,85.3205683,0.0,1,0.7,0.0
1790250604886,-1.4880879258119637,1.6956325894025788,8.379426281110707,0.5192534160273615,0.046491439137928685,0.1673261774598503,-26.268688751307412,-29.63756196240104,-23.076291270388104,23.3352096,85.3205683,0.0,1,0.7,0.0
1790250604992,-0.31584571803325545,2.860875593096332,8.276953289559899,0.8578271763195519,-0.7849140799564196,0.35794405111517036,-25.591025733254884,-30.551988732517724,-21.8620086173706,23.3352096,85.3205683,0.0,1,0.7,0.0
1790250605092,0.5360531613477564,3.0421903438534272,9.825875621663481,-0.06220240999367269,-1.0493345152167957,0.1084472305509516,-26.378166171949577,-30.95454618442597,-19.57326983370936,23.3352096,85.3205683,0.0,2,1.4,0.0
1790250605205,1.1565189508364133,3.8012607737708533,10.348505163696144,0.3464421229344451,-0.6974972161722638,-0.2764464512750183,-27.219656759033164,-31.418795896100125,-16.869637211132307,23.3352096,85.3205683,0.0,2,1.4,0.0
1790250605310,2.7001995099831184,5.001652501657444,10.177597504414043,0.8486914210640061,-0.5258156921685473,-0.30571730808278724,-27.401853597836414,-32.79779079410426,-13.20233336805942,23.3352096,85.3205683,0.0,2,1.4,0.0
1790250605425,4.815213474287757,3.5479276794750274,9.671613683537421,0.8039929694125738,-0.937348614824975,-0.33433457138320294,-27.14416806240664,-33.96064412472025,-9.343871618966771,23.3352096,85.3205683,0.0,2,1.4,0.0
1790250605539,3.5428529565135296,3.0585155312224073,8.37790698435412,1.1860792625748884,-0.9522061855921153,-1.3099080292603194,-26.081520764867463,-35.356044887219895,-4.6792435491860225,23.3352096,85.3205683,0.0,2,1.4,0.0
1790250605659,0.38349296071322314,4.3604104498010345,5.361150795143814,0.9803798801163662,-0.8988522574060462,-2.169457617108274,-22.12578570102011,-37.68677919603091,2.4792954253903634,23.3352096,85.3205683,0.0,2,1.4,0.0
1790250605769,-3.4710334463168775,6.544816306726403,3.508262056752566,0.7620164101081685,0.22007465775152213,-2.458234206406803,-14.025249673917768,-40.29782368846626,9.289523671845116,23.3352096,85.3205683,0.0,2,1.4,0.0
1790250605887,-5.880450720374095,7.9501616751184825,4.418519599242169,-0.20698687775321983,0.09818528154455047,-1.4652131645778457,-3.055370037171956,-41.224566245182636,14.055499846420485,23.3352096,85.3205683,0.0,3,2.0999999999999996,0.0
1790250606001,-5.057896415305443,7.739993427531536,5.92048113416744,-0.7097031481777096,-0.8645958718736961,0.10186983020714403,5.101204698635838,-41.3095315269019,15.592759145215402,23.3352096,85.3205683,0.0,3,2.0999999999999996,0.0
1790250606105,-1.0704227710469463,6.302912250730212,7.427778678798097,-0.7544740552463203,-2.5131547917497064,0.6877471959752396,8.384332706641862,-41.93674783035414,13.988739777509236,23.3349197,85.3205683,4.262922286987305,3,2.0999999999999996,0.0
1790250606214,2.0116505173394716,6.441334699718343,7.2784505481658055,0.28831265116998095,-2.8170266032311404,0.5299735577398147,9.238077333101478,-43.290642173595664,9.18290257569601,23.3349197,85.3205683,4.262922286987305,3,2.0999999999999996,0.0
1790250606314,4.663983896880607,7.005343987957549,6.688670527820089,1.4366785618597815,-1.756097155746251,-0.2248916112026892,9.207494659834856,-43.82721504889322,6.304210210661236,23.3349197,85.3205683,4.262922286987305,4,2.8,0.0
1790250606426,4.6818240440083425,7.811136339714648,3.379056220893106,2.162073527840596,-0.04894277064432673,-1.3703041645172798,10.822596965572057,-43.05438409089851,7.4320608802510595,23.3349197,85.3205683,4.262922286987305,4,2.8,0.0
1790250606533,2.048370376104795,7.597268351178384,-1.4897864996573342,1.912656078264348,1.770282684427702,-2.74547870043094,14.756120170309515,-38.52773893524143,14.14079183652589,23.3349197,85.3205683,4.262922286987305,4,2.8,0.0
1790250606644,-3.2356913569361363,6.786741824828064,-3.6502631330263875,0.7546284706803373,3.2507915864096457,-3.5333061016905227,17.855465601587948,-31.60295885995454,21.912432031808127,23.3349197,85.3205683,4.262922286987305,4,2.8,0.0
1790250606751,-6.224966811399832,5.914771898922691,-0.8400813459641358,-0.8001432853770882,0.7814471300489956,-2.6332753221377385,18.229703593845088,-23.032366503121807,30.70357985915731,23.3349197,85.3205683,4.262922286987305,4,2.8,0.0
1790250606851,-7.771252796213957,5.775288586675059,-1.6591756653912997,-0.7053955295307671,0.03274209136617848,-1.8377177049816755,18.032564769752135,-18.786671143022,34.39790265343948,23.3349197,85.3205683,4.262922286987305,4,2.8,0.0
1790250606964,-8.94287545650893,4.785073302234961,0.8418928375709224,-1.8988543469556236,-1.5106460456055484,-0.8558381449736927,19.45741364689644,-16.709870596759085,35.268724202077124,23.3349197,85.3205683,4.262922286987305,4,2.8,0.0
1790250607065,-9.574541803034402,3.247976872003421,4.796464953277604,-2.5712714640815615,-1.7456203040997078,-0.13456367364419447,23.10001709624602,-17.854776892421178,32.259610728386754,23.3349197,85.3205683,4.262922286987305,5,3.5,0.0
1790250607172,-8.810048584306855,2.0223564962178537,7.559828217571151,-2.472545353750769,-1.7510638484645007,0.8184818070287089,27.39888038832382,-22.325783349700238,25.075090899981017,23.3349197,85.3205683,4.262922286987305,5,3.5,0.0
1790250607284,-7.885399223064779,0.7307868798325525,8.333012048555249,-2.717868670863939,-1.8154783414542086,2.9507166861847356,28.934010417813344,-29.490123424926573,12.61517223798542,23.3349197,85.3205683,4.262922286987305,5,3.5,0.0
1790250607392,-2.3250632522327823,-1.0738387957185198,8.516569376820653,-2.583096901639632,-1.5754293879836363,3.0049050496618652,22.91643812050051,-34.899015204443636,0.8111243531218166,23.3349197,85.3205683,4.262922286987305,5,3.5,0.0
1790250607504,-1.5761542218334559,-1.8325790686706582,11.204135317864742,-1.5547915499865166,-0.2376100290022709,2.3113005904307493,9.512348686869043,-37.36082186226455,-12.820518269579983,23.3349197,85.3205683,4.262922286987305,6,4.199999999999999,0.0
1790250607604,-2.4186993943787196,-2.1362261265295572,11.590882330399927,0.8081285674889107,0.028997086730209204,2.5063479161478663,-0.9340001879396278,-35.32384446952029,-21.261402938309548,23.3349197,85.3205683,4.262922286987305,6,4.199999999999999,0.0
